date_id,date,day,month,year,quarter,weekday
1,2022-01-01,1,1,2022,1,6
2,2022-01-02,2,1,2022,1,7
3,2022-01-03,3,1,2022,1,1
4,2022-01-04,4,1,2022,1,2
5,2022-01-05,5,1,2022,1,3
6,2022-01-06,6,1,2022,1,4
7,2022-01-07,7,1,2022,1,5
8,2022-01-08,8,1,2022,1,6
9,2022-01-09,9,1,2022,1,7
10,2022-01-10,10,1,2022,1,1
11,2022-01-11,11,1,2022,1,2
12,2022-01-12,12,1,2022,1,3
13,2022-01-13,13,1,2022,1,4
14,2022-01-14,14,1,2022,1,5
15,2022-01-15,15,1,2022,1,6
16,2022-01-16,16,1,2022,1,7
17,2022-01-17,17,1,2022,1,1
18,2022-01-18,18,1,2022,1,2
19,2022-01-19,19,1,2022,1,3
20,2022-01-20,20,1,2022,1,4
21,2022-01-21,21,1,2022,1,5
22,2022-01-22,22,1,2022,1,6
23,2022-01-23,23,1,2022,1,7
24,2022-01-24,24,1,2022,1,1
25,2022-01-25,25,1,2022,1,2
26,2022-01-26,26,1,2022,1,3
27,2022-01-27,27,1,2022,1,4
28,2022-01-28,28,1,2022,1,5
29,2022-01-29,29,1,2022,1,6
30,2022-01-30,30,1,2022,1,7
31,2022-01-31,31,1,2022,1,1
32,2022-02-01,1,2,2022,1,2
33,2022-02-02,2,2,2022,1,3
34,2022-02-03,3,2,2022,1,4
35,2022-02-04,4,2,2022,1,5
36,2022-02-05,5,2,2022,1,6
37,2022-02-06,6,2,2022,1,7
38,2022-02-07,7,2,2022,1,1
39,2022-02-08,8,2,2022,1,2
40,2022-02-09,9,2,2022,1,3
41,2022-02-10,10,2,2022,1,4
42,2022-02-11,11,2,2022,1,5
43,2022-02-12,12,2,2022,1,6
44,2022-02-13,13,2,2022,1,7
45,2022-02-14,14,2,2022,1,1
46,2022-02-15,15,2,2022,1,2
47,2022-02-16,16,2,2022,1,3
48,2022-02-17,17,2,2022,1,4
49,2022-02-18,18,2,2022,1,5
50,2022-02-19,19,2,2022,1,6
51,2022-02-20,20,2,2022,1,7
52,2022-02-21,21,2,2022,1,1
53,2022-02-22,22,2,2022,1,2
54,2022-02-23,23,2,2022,1,3
55,2022-02-24,24,2,2022,1,4
56,2022-02-25,25,2,2022,1,5
57,2022-02-26,26,2,2022,1,6
58,2022-02-27,27,2,2022,1,7
59,2022-02-28,28,2,2022,1,1
60,2022-03-01,1,3,2022,1,2
61,2022-03-02,2,3,2022,1,3
62,2022-03-03,3,3,2022,1,4
63,2022-03-04,4,3,2022,1,5
64,2022-03-05,5,3,2022,1,6
65,2022-03-06,6,3,2022,1,7
66,2022-03-07,7,3,2022,1,1
67,2022-03-08,8,3,2022,1,2
68,2022-03-09,9,3,2022,1,3
69,2022-03-10,10,3,2022,1,4
70,2022-03-11,11,3,2022,1,5
71,2022-03-12,12,3,2022,1,6
72,2022-03-13,13,3,2022,1,7
73,2022-03-14,14,3,2022,1,1
74,2022-03-15,15,3,2022,1,2
75,2022-03-16,16,3,2022,1,3
76,2022-03-17,17,3,2022,1,4
77,2022-03-18,18,3,2022,1,5
78,2022-03-19,19,3,2022,1,6
79,2022-03-20,20,3,2022,1,7
80,2022-03-21,21,3,2022,1,1
81,2022-03-22,22,3,2022,1,2
82,2022-03-23,23,3,2022,1,3
83,2022-03-24,24,3,2022,1,4
84,2022-03-25,25,3,2022,1,5
85,2022-03-26,26,3,2022,1,6
86,2022-03-27,27,3,2022,1,7
87,2022-03-28,28,3,2022,1,1
88,2022-03-29,29,3,2022,1,2
89,2022-03-30,30,3,2022,1,3
90,2022-03-31,31,3,2022,1,4
91,2022-04-01,1,4,2022,2,5
92,2022-04-02,2,4,2022,2,6
93,2022-04-03,3,4,2022,2,7
94,2022-04-04,4,4,2022,2,1
95,2022-04-05,5,4,2022,2,2
96,2022-04-06,6,4,2022,2,3
97,2022-04-07,7,4,2022,2,4
98,2022-04-08,8,4,2022,2,5
99,2022-04-09,9,4,2022,2,6
100,2022-04-10,10,4,2022,2,7
101,2022-04-11,11,4,2022,2,1
102,2022-04-12,12,4,2022,2,2
103,2022-04-13,13,4,2022,2,3
104,2022-04-14,14,4,2022,2,4
105,2022-04-15,15,4,2022,2,5
106,2022-04-16,16,4,2022,2,6
107,2022-04-17,17,4,2022,2,7
108,2022-04-18,18,4,2022,2,1
109,2022-04-19,19,4,2022,2,2
110,2022-04-20,20,4,2022,2,3
111,2022-04-21,21,4,2022,2,4
112,2022-04-22,22,4,2022,2,5
113,2022-04-23,23,4,2022,2,6
114,2022-04-24,24,4,2022,2,7
115,2022-04-25,25,4,2022,2,1
116,2022-04-26,26,4,2022,2,2
117,2022-04-27,27,4,2022,2,3
118,2022-04-28,28,4,2022,2,4
119,2022-04-29,29,4,2022,2,5
120,2022-04-30,30,4,2022,2,6
121,2022-05-01,1,5,2022,2,7
122,2022-05-02,2,5,2022,2,1
123,2022-05-03,3,5,2022,2,2
124,2022-05-04,4,5,2022,2,3
125,2022-05-05,5,5,2022,2,4
126,2022-05-06,6,5,2022,2,5
127,2022-05-07,7,5,2022,2,6
128,2022-05-08,8,5,2022,2,7
129,2022-05-09,9,5,2022,2,1
130,2022-05-10,10,5,2022,2,2
131,2022-05-11,11,5,2022,2,3
132,2022-05-12,12,5,2022,2,4
133,2022-05-13,13,5,2022,2,5
134,2022-05-14,14,5,2022,2,6
135,2022-05-15,15,5,2022,2,7
136,2022-05-16,16,5,2022,2,1
137,2022-05-17,17,5,2022,2,2
138,2022-05-18,18,5,2022,2,3
139,2022-05-19,19,5,2022,2,4
140,2022-05-20,20,5,2022,2,5
141,2022-05-21,21,5,2022,2,6
142,2022-05-22,22,5,2022,2,7
143,2022-05-23,23,5,2022,2,1
144,2022-05-24,24,5,2022,2,2
145,2022-05-25,25,5,2022,2,3
146,2022-05-26,26,5,2022,2,4
147,2022-05-27,27,5,2022,2,5
148,2022-05-28,28,5,2022,2,6
149,2022-05-29,29,5,2022,2,7
150,2022-05-30,30,5,2022,2,1
151,2022-05-31,31,5,2022,2,2
152,2022-06-01,1,6,2022,2,3
153,2022-06-02,2,6,2022,2,4
154,2022-06-03,3,6,2022,2,5
155,2022-06-04,4,6,2022,2,6
156,2022-06-05,5,6,2022,2,7
157,2022-06-06,6,6,2022,2,1
158,2022-06-07,7,6,2022,2,2
159,2022-06-08,8,6,2022,2,3
160,2022-06-09,9,6,2022,2,4
161,2022-06-10,10,6,2022,2,5
162,2022-06-11,11,6,2022,2,6
163,2022-06-12,12,6,2022,2,7
164,2022-06-13,13,6,2022,2,1
165,2022-06-14,14,6,2022,2,2
166,2022-06-15,15,6,2022,2,3
167,2022-06-16,16,6,2022,2,4
168,2022-06-17,17,6,2022,2,5
169,2022-06-18,18,6,2022,2,6
170,2022-06-19,19,6,2022,2,7
171,2022-06-20,20,6,2022,2,1
172,2022-06-21,21,6,2022,2,2
173,2022-06-22,22,6,2022,2,3
174,2022-06-23,23,6,2022,2,4
175,2022-06-24,24,6,2022,2,5
176,2022-06-25,25,6,2022,2,6
177,2022-06-26,26,6,2022,2,7
178,2022-06-27,27,6,2022,2,1
179,2022-06-28,28,6,2022,2,2
180,2022-06-29,29,6,2022,2,3
181,2022-06-30,30,6,2022,2,4
182,2022-07-01,1,7,2022,3,5
183,2022-07-02,2,7,2022,3,6
184,2022-07-03,3,7,2022,3,7
185,2022-07-04,4,7,2022,3,1
186,2022-07-05,5,7,2022,3,2
187,2022-07-06,6,7,2022,3,3
188,2022-07-07,7,7,2022,3,4
189,2022-07-08,8,7,2022,3,5
190,2022-07-09,9,7,2022,3,6
191,2022-07-10,10,7,2022,3,7
192,2022-07-11,11,7,2022,3,1
193,2022-07-12,12,7,2022,3,2
194,2022-07-13,13,7,2022,3,3
195,2022-07-14,14,7,2022,3,4
196,2022-07-15,15,7,2022,3,5
197,2022-07-16,16,7,2022,3,6
198,2022-07-17,17,7,2022,3,7
199,2022-07-18,18,7,2022,3,1
200,2022-07-19,19,7,2022,3,2
201,2022-07-20,20,7,2022,3,3
202,2022-07-21,21,7,2022,3,4
203,2022-07-22,22,7,2022,3,5
204,2022-07-23,23,7,2022,3,6
205,2022-07-24,24,7,2022,3,7
206,2022-07-25,25,7,2022,3,1
207,2022-07-26,26,7,2022,3,2
208,2022-07-27,27,7,2022,3,3
209,2022-07-28,28,7,2022,3,4
210,2022-07-29,29,7,2022,3,5
211,2022-07-30,30,7,2022,3,6
212,2022-07-31,31,7,2022,3,7
213,2022-08-01,1,8,2022,3,1
214,2022-08-02,2,8,2022,3,2
215,2022-08-03,3,8,2022,3,3
216,2022-08-04,4,8,2022,3,4
217,2022-08-05,5,8,2022,3,5
218,2022-08-06,6,8,2022,3,6
219,2022-08-07,7,8,2022,3,7
220,2022-08-08,8,8,2022,3,1
221,2022-08-09,9,8,2022,3,2
222,2022-08-10,10,8,2022,3,3
223,2022-08-11,11,8,2022,3,4
224,2022-08-12,12,8,2022,3,5
225,2022-08-13,13,8,2022,3,6
226,2022-08-14,14,8,2022,3,7
227,2022-08-15,15,8,2022,3,1
228,2022-08-16,16,8,2022,3,2
229,2022-08-17,17,8,2022,3,3
230,2022-08-18,18,8,2022,3,4
231,2022-08-19,19,8,2022,3,5
232,2022-08-20,20,8,2022,3,6
233,2022-08-21,21,8,2022,3,7
234,2022-08-22,22,8,2022,3,1
235,2022-08-23,23,8,2022,3,2
236,2022-08-24,24,8,2022,3,3
237,2022-08-25,25,8,2022,3,4
238,2022-08-26,26,8,2022,3,5
239,2022-08-27,27,8,2022,3,6
240,2022-08-28,28,8,2022,3,7
241,2022-08-29,29,8,2022,3,1
242,2022-08-30,30,8,2022,3,2
243,2022-08-31,31,8,2022,3,3
244,2022-09-01,1,9,2022,3,4
245,2022-09-02,2,9,2022,3,5
246,2022-09-03,3,9,2022,3,6
247,2022-09-04,4,9,2022,3,7
248,2022-09-05,5,9,2022,3,1
249,2022-09-06,6,9,2022,3,2
250,2022-09-07,7,9,2022,3,3
251,2022-09-08,8,9,2022,3,4
252,2022-09-09,9,9,2022,3,5
253,2022-09-10,10,9,2022,3,6
254,2022-09-11,11,9,2022,3,7
255,2022-09-12,12,9,2022,3,1
256,2022-09-13,13,9,2022,3,2
257,2022-09-14,14,9,2022,3,3
258,2022-09-15,15,9,2022,3,4
259,2022-09-16,16,9,2022,3,5
260,2022-09-17,17,9,2022,3,6
261,2022-09-18,18,9,2022,3,7
262,2022-09-19,19,9,2022,3,1
263,2022-09-20,20,9,2022,3,2
264,2022-09-21,21,9,2022,3,3
265,2022-09-22,22,9,2022,3,4
266,2022-09-23,23,9,2022,3,5
267,2022-09-24,24,9,2022,3,6
268,2022-09-25,25,9,2022,3,7
269,2022-09-26,26,9,2022,3,1
270,2022-09-27,27,9,2022,3,2
271,2022-09-28,28,9,2022,3,3
272,2022-09-29,29,9,2022,3,4
273,2022-09-30,30,9,2022,3,5
274,2022-10-01,1,10,2022,4,6
275,2022-10-02,2,10,2022,4,7
276,2022-10-03,3,10,2022,4,1
277,2022-10-04,4,10,2022,4,2
278,2022-10-05,5,10,2022,4,3
279,2022-10-06,6,10,2022,4,4
280,2022-10-07,7,10,2022,4,5
281,2022-10-08,8,10,2022,4,6
282,2022-10-09,9,10,2022,4,7
283,2022-10-10,10,10,2022,4,1
284,2022-10-11,11,10,2022,4,2
285,2022-10-12,12,10,2022,4,3
286,2022-10-13,13,10,2022,4,4
287,2022-10-14,14,10,2022,4,5
288,2022-10-15,15,10,2022,4,6
289,2022-10-16,16,10,2022,4,7
290,2022-10-17,17,10,2022,4,1
291,2022-10-18,18,10,2022,4,2
292,2022-10-19,19,10,2022,4,3
293,2022-10-20,20,10,2022,4,4
